연월,시도,월평균기온,월평균최고기온,월평균최저기온,가구수(개),공급량(㎥),총인구수
2024-08,강원,26.8,31.9,23.0,434933,5986.004164,1521066
2024-09,강원,22.2,27.1,18.4,435721,5808.092891,1520410
2024-10,강원,14.0,19.6,9.6,436966,9798.694829,1519545
2024-11,강원,7.7,13.7,2.6,440629,18943.83633,1518700
2024-12,강원,-1.1,4.1,-5.8,443774,39123.62439,1517766
2025-01,강원,-2.9,2.5,-7.7,444836,50677.42369,1515822
2025-02,강원,-2.8,3.0,-8.5,445730,50265.85448,1513735
2025-03,강원,5.5,11.8,-0.2,446378,40159.23482,1512969
2025-04,강원,11.8,18.7,5.1,446315,25896.94596,1512088
2025-05,강원,15.7,21.6,10.1,445688,15428.93148,1511341
2025-06,강원,22.5,27.9,17.4,445389,9851.904954,1510615
2025-07,강원,26.1,31.0,22.3,445743,7154.813754,1510181
2025-08,강원,26.2,31.0,22.4,447919,5958.109562,1509670
2025-09,강원,20.9,25.9,16.8,449320,5869.665728,1509396
2025-10,강원,14.3,18.6,10.9,450727,8130.252148,1509064
2025-11,강원,6.6,13.1,1.1,452006,18979.13885,1508951
2025-12,강원,-0.0,4.5,-4.7,455637,35735.95978,1508500
2026-01,강원,-4.8,0.6,-10.3,458723,51082.11342,1507634
2026-02,강원,0.8,6.9,-4.9,460441,52300.84634,1506699
2026-03,강원,5.5,12.0,-0.4,461343,37121.45454,1506843
2026-04,강원,12.7,19.8,6.0,461164,26403.46152,1507199
2026-05,강원,17.8,24.3,11.8,460393,13588.73984,1507237
2026-06,강원,20.9,26.9,15.4,460719,9140.314502,1507217
2021-01,경기,-2.8,2.2,-7.8,4909814,522299.1084,13449499
2021-02,경기,2.1,7.7,-3.2,4912208,405507.2495,13471758
2021-03,경기,8.1,14.1,2.9,4927006,291559.8218,13465837
2021-04,경기,13.4,19.0,8.0,4907175,179336.2137,13479798
2021-05,경기,16.3,21.5,11.7,4912560,123819.1526,13488910
2021-06,경기,22.0,26.9,17.9,4826844,71731.80716,13500688
2021-07,경기,27.0,31.5,23.3,4858956,48541.53314,13512867
2021-08,경기,25.1,29.3,21.9,4827118,47631.59739,13530519
2021-09,경기,21.9,26.6,18.0,4856412,45574.28996,13542284
2021-10,경기,15.0,20.3,10.6,4912992,121921.3502,13549577
2021-11,경기,7.6,13.0,3.0,4930072,254445.0698,13557973
2021-12,경기,0.3,5.2,-4.2,4955986,423165.831,13565450
2022-01,경기,-2.5,2.6,-7.4,4982294,520447.4341,13571450
2022-02,경기,-1.4,3.9,-6.3,4988223,457002.0965,13574369
2022-03,경기,7.0,12.4,2.0,4982372,335091.9862,13575936
2022-04,경기,13.6,19.7,8.1,4976678,199711.4076,13577808
2022-05,경기,17.9,23.8,12.1,4979243,101100.1322,13581496
2022-06,경기,22.5,26.9,18.7,4957618,56180.79802,13585967
2022-07,경기,26.4,30.4,23.2,4975876,65986.80651,13589362
2022-08,경기,25.0,28.4,22.2,4988770,46897.45813,13590056
2022-09,경기,21.3,26.7,17.0,4994281,55390.65645,13574353
2022-10,경기,13.7,19.3,9.1,5036338,123056.7837,13579508
2022-11,경기,9.0,15.0,3.9,5102539,226505.8475,13583238
2022-12,경기,-3.6,1.1,-8.0,5048969,434613.2688,13589432
2023-01,경기,-2.3,2.7,-6.9,5059194,509891.0414,13596091
2023-02,경기,1.5,6.9,-3.2,5138861,383958.0142,13600800
2023-03,경기,8.6,15.4,2.4,5124395,263261.939,13603546
2023-04,경기,13.0,18.5,7.5,5088574,163659.4416,13607919
2023-05,경기,18.3,24.0,13.0,5017093,102821.4705,13612597
2023-06,경기,22.4,27.0,18.5,4971603,50399.31207,13618969
2023-07,경기,25.8,29.5,22.8,4974598,62847.49718,13623055
2023-08,경기,26.4,30.4,23.2,4943505,41079.82018,13624964
2023-09,경기,22.8,27.1,19.2,5013437,47448.77251,13626339
2023-10,경기,14.7,20.3,10.0,4984606,93916.81638,13627840
2023-11,경기,6.5,11.4,2.0,4998433,214664.4475,13628135
2023-12,경기,0.6,5.0,-3.6,5088010,423509.6098,13630821
2024-01,경기,-0.9,3.2,-4.7,5218486,459109.1324,13635250
2024-02,경기,3.2,7.8,-0.7,5281228,382037.4505,13639616
2024-03,경기,6.4,11.8,1.3,5226651,303634.2152,13642451
2024-04,경기,15.1,21.3,9.8,5215549,154103.4678,13648156
2024-05,경기,17.5,22.9,12.4,5203641,86922.46003,13654710
2024-06,경기,23.1,28.6,18.0,5218690,48872.40179,13661438
2024-07,경기,25.9,29.2,23.2,5222393,68008.65426,13669469
2024-08,경기,28.2,32.6,25.0,5201632,43649.06997,13675873
2024-09,경기,24.6,29.1,21.0,5210785,38828.01282,13680645
2024-10,경기,15.8,20.8,11.5,5214398,72459.57501,13686731
2024-11,경기,8.9,14.5,4.2,5223687,177861.849,13690645
2024-12,경기,0.1,4.8,-4.1,5097264,401935.7078,13694685
2025-01,경기,-1.4,3.3,-5.6,5115623,475190.6229,13699647
2025-02,경기,-1.8,3.3,-6.6,5126745,441586.4084,13698657
2025-03,경기,7.1,13.0,1.9,5131322,296904.0196,13699381
2025-04,경기,12.5,18.4,6.8,5111778,175157.831,13702756
2025-05,경기,16.8,21.9,12.1,5100981,111717.5236,13706488
2025-06,경기,22.8,27.5,18.6,5103742,51690.51438,13711404
2025-07,경기,27.4,31.4,24.1,5105689,63974.50151,13715016
2025-08,경기,27.2,31.3,24.0,5091614,38065.27903,13720015
2025-09,경기,22.6,26.9,19.2,5091971,37354.39937,13721178
2025-10,경기,16.0,20.3,12.4,5101382,86298.61174,13724652
2025-11,경기,8.1,13.8,3.1,5116869,208992.0367,13725710
2025-12,경기,0.7,5.1,-3.6,5137656,396842.1974,13730135
2026-01,경기,-3.8,0.9,-8.5,5081614,498700.4961,13736642
2026-02,경기,1.8,7.5,-3.4,5091361,414122.42,13742072
2026-03,경기,7.3,13.2,2.0,5084868,281600.7903,13745673
2026-04,경기,13.6,20.1,7.6,5063930,154299.208,13751098
2026-05,경기,18.7,24.6,13.4,5051244,87683.72314,13755126
2026-06,경기,23.1,28.5,18.2,5047607,44922.2367,13761783
2021-01,경남,1.4,7.0,-3.7,1122511,107803.1863,3338396
2021-02,경남,5.4,11.5,-0.1,1123620,104147.5043,3336045
2021-03,경남,10.2,16.1,4.9,1124571,77587.98252,3330463
2021-04,경남,14.0,20.2,8.2,1127263,54812.1047,3329623
2021-05,경남,17.7,23.0,12.7,1128585,34874.81185,3327298
2021-06,경남,22.0,26.8,18.1,1129884,23178.57562,3325840
2021-07,경남,26.1,30.6,22.7,1130481,16256.35536,3324735
2021-08,경남,25.7,30.1,22.6,1131235,13550.09576,3322373
2021-09,경남,22.0,26.2,18.8,1133242,13412.55784,3319271
2021-10,경남,16.6,22.7,12.0,1133412,18993.823,3318161
2021-11,경남,9.8,16.4,4.7,1136724,37849.05346,3316365
2021-12,경남,3.8,9.7,-1.3,1140277,69504.35434,3314183
2022-01,경남,1.7,7.9,-3.4,1141442,101960.6127,3311438
2022-02,경남,2.1,8.0,-3.2,1144032,110786.0888,3307005
2022-03,경남,9.4,15.4,3.7,1145385,89589.18306,3303274
2022-04,경남,14.6,20.9,8.9,1146512,61837.20019,3300692
2022-05,경남,19.0,25.5,12.8,1148679,34296.5856,3298016
2022-06,경남,22.4,27.0,18.8,1149715,21069.3424,3295615
2022-07,경남,26.4,30.8,22.9,1151566,15631.08855,3293709
2022-08,경남,26.1,30.0,22.9,1153046,12402.18649,3290991
2022-09,경남,21.8,26.7,17.9,1155037,13224.63584,3286470
2022-10,경남,15.6,21.8,10.5,1156388,19194.39058,3284495
2022-11,경남,11.3,18.2,5.8,1159063,35159.7312,3282849
2022-12,경남,1.3,6.8,-3.2,1161412,64188.45213,3280493
2023-01,경남,1.7,7.8,-3.6,1161228,110347.3454,3277672
2023-02,경남,4.6,10.8,-0.7,1163164,101036.2408,3272381
2023-03,경남,10.8,17.6,4.8,1162990,73101.72867,3269228
2023-04,경남,13.9,19.7,8.3,1163326,48085.12141,3267369
2023-05,경남,17.9,23.2,13.1,1165565,32558.68524,3265018
2023-06,경남,22.6,27.6,18.4,1167646,22449.49391,3263251
2023-07,경남,25.5,29.4,22.6,1169357,15090.39273,3261361
2023-08,경남,27.1,31.4,23.9,1172850,13439.69934,3258309
2023-09,경남,23.4,27.9,20.3,1175272,11865.20291,3257009
2023-10,경남,16.0,22.4,11.0,1176911,16738.35456,3255239
2023-11,경남,9.7,15.7,4.4,1179755,32435.54201,3253619
2023-12,경남,4.3,9.8,-0.3,1181984,67359.02133,3251158
2024-01,경남,2.9,8.4,-1.7,1186761,96730.48731,3248703
2024-02,경남,5.7,10.5,1.7,1187198,98043.6394,3244232
2024-03,경남,8.4,14.0,3.1,1187799,80692.5853,3241374
2024-04,경남,15.3,21.2,10.3,1189844,60551.22775,3239224
2024-05,경남,18.4,24.7,12.5,1191682,30376.75067,3237140
2024-06,경남,22.7,28.1,18.1,1194878,20649.04061,3236224
2024-07,경남,26.5,30.1,23.7,1197398,14966.64811,3235125
2024-08,경남,28.4,33.5,24.7,1198229,12705.31535,3233629
2024-09,경남,25.6,30.5,22.1,1198989,10204.08056,3232297
2024-10,경남,17.6,22.7,13.6,1201046,14468.19139,3231132
2024-11,경남,11.3,16.8,6.9,1204211,29299.7829,3230071
2024-12,경남,3.8,9.4,-0.9,1208106,59659.22788,3228380
2025-01,경남,1.7,7.6,-3.3,1216802,99512.90369,3226599
2025-02,경남,1.4,7.2,-3.5,1222258,111750.6351,3221132
2025-03,경남,8.9,14.7,3.4,1223892,91711.55749,3219574
2025-04,경남,13.9,20.2,8.1,1223899,59506.06701,3218731
2025-05,경남,17.1,22.6,12.4,1223996,34854.6167,3217584
2025-06,경남,23.0,28.0,18.5,1223594,22427.32546,3216105
2025-07,경남,27.2,32.3,23.1,1226283,14927.58433,3214016
2025-08,경남,27.5,32.3,23.9,1228186,11762.11878,3212001
2025-09,경남,24.3,28.7,21.1,1229142,11092.38827,3210425
2025-10,경남,18.0,22.5,14.6,1230574,14323.05759,3209853
2025-11,경남,10.0,16.7,4.7,1231563,31862.47491,3208860
2025-12,경남,4.4,10.2,-0.8,1235834,64949.23412,3207383
2026-01,경남,1.1,7.0,-4.2,1236996,100885.3312,3205787
2026-02,경남,4.8,11.3,-0.9,1238738,107093.1638,3201389
2026-03,경남,9.0,15.3,3.6,1238993,80597.35578,3198787
2026-04,경남,14.9,21.0,9.6,1239034,54793.44929,3197859
2026-05,경남,19.0,25.2,13.3,1239687,29273.9843,3196632
2026-06,경남,22.3,27.3,18.0,1240068,19803.3508,3195351
2021-01,경북,-1.1,4.8,-6.5,834647,107101.8075,2637639
2021-02,경북,3.5,10.0,-2.5,836428,78868.38153,2636747
2021-03,경북,8.8,14.7,3.0,834460,64774.36696,2635563
2021-04,경북,12.8,19.0,6.6,835822,40814.27886,2635896
2021-05,경북,16.3,22.2,10.8,837054,27914.6244,2633592
2021-06,경북,21.3,26.4,16.9,838996,17136.5726,2632401
2021-07,경북,25.4,30.4,21.3,840476,13060.54239,2631649
2021-08,경북,24.1,28.6,20.9,841897,10665.04699,2630254
2021-09,경북,20.6,25.2,16.8,844357,13971.73445,2628344
2021-10,경북,14.7,21.0,9.9,846487,24762.83658,2627925
2021-11,경북,8.2,14.7,2.9,851476,50302.09091,2627468
2021-12,경북,2.0,8.0,-3.3,856443,84887.42311,2626609
2022-01,경북,-0.4,5.7,-5.9,858131,102122.3281,2624310
2022-02,경북,0.2,6.3,-5.3,855411,91495.83781,2622026
2022-03,경북,7.9,14.1,1.9,859191,71152.33312,2619641
2022-04,경북,14.2,21.1,7.2,855385,42921.17368,2617552
2022-05,경북,18.6,25.6,11.6,859522,23591.72047,2616177
2022-06,경북,22.5,27.9,17.7,856901,15670.95134,2613963
2022-07,경북,25.7,30.3,22.1,860280,11267.50497,2612016
2022-08,경북,25.1,29.3,21.7,858300,9972.686713,2609356
2022-09,경북,20.3,25.7,15.9,864118,13203.54673,2605066
2022-10,경북,13.8,20.1,8.5,861764,25032.86312,2603389
2022-11,경북,9.5,16.7,3.5,867414,45060.08801,2602052
2022-12,경북,-1.1,4.3,-5.8,870257,90980.26276,2600492
2023-01,경북,-0.3,5.6,-5.6,875280,100097.6182,2597527
2023-02,경북,3.0,9.2,-2.5,874011,81710.74533,2594399
2023-03,경북,10.0,17.2,3.0,873899,55862.3513,2593210
2023-04,경북,13.2,19.5,6.7,873476,35909.01453,2592205
2023-05,경북,17.9,23.7,11.8,875910,27051.25053,2590726
2023-06,경북,22.4,27.9,17.6,877283,14321.47353,2588860
2023-07,경북,25.3,29.8,21.8,877153,11698.84194,2564065
2023-08,경북,26.2,30.7,22.7,878047,10269.67568,2561623
2023-09,경북,22.2,26.7,18.7,879186,11121.57116,2559924
2023-10,경북,14.3,21.1,8.8,880025,19949.61159,2558085
2023-11,경북,7.9,13.9,2.5,883277,45177.17111,2556262
2023-12,경북,2.2,7.5,-2.6,889346,83098.08407,2554324
2024-01,경북,1.1,6.1,-3.4,891547,93047.49406,2551370
2024-02,경북,4.1,8.8,0.0,890404,76383.50888,2548440
2024-03,경북,7.0,12.7,1.5,887852,72033.02078,2546960
2024-04,경북,15.0,21.1,9.2,888322,33389.5073,2546120
2024-05,경북,17.7,24.5,11.2,889199,21944.99547,2545421
2024-06,경북,22.8,28.8,17.3,893128,14419.06285,2544174
2024-07,경북,26.4,30.4,23.0,893459,11291.03707,2542072
2024-08,경북,27.6,33.0,23.4,893878,9787.546792,2540046
2024-09,경북,24.1,29.1,20.2,895265,9095.162497,2537955
2024-10,경북,15.9,21.1,11.6,897993,20276.58011,2535971
2024-11,경북,9.7,15.5,4.7,900153,42605.81073,2533979
2024-12,경북,2.2,7.3,-2.5,906441,83219.28319,2531384
2025-01,경북,0.1,5.8,-4.9,907568,99757.01918,2528641
2025-02,경북,-0.2,5.7,-5.7,908818,92530.63296,2524067
2025-03,경북,7.8,14.0,1.8,907654,66907.75169,2523173
2025-04,경북,13.4,20.5,6.3,907432,37148.28823,2522609
2025-05,경북,16.8,22.9,11.1,907368,24126.58375,2520934
2025-06,경북,23.3,29.1,18.1,907059,13082.96521,2519474
2025-07,경북,26.9,32.1,22.4,906612,10651.95798,2516753
2025-08,경북,27.4,32.8,22.9,906978,9486.86633,2514198
2025-09,경북,22.6,27.5,18.9,908710,9533.46823,2512441
2025-10,경북,16.2,20.3,12.9,910996,20121.70492,2510859
2025-11,경북,8.2,15.1,2.5,914037,48593.12818,2509131
2025-12,경북,2.1,7.8,-3.1,919279,82407.43591,2506526
2026-01,경북,-1.4,4.2,-6.7,919598,105378.6963,2503544
2026-02,경북,3.0,9.5,-2.8,918667,78144.00127,2500499
2026-03,경북,7.7,13.8,1.8,917544,67786.52094,2499357
2026-04,경북,13.9,20.5,7.5,919606,34480.05998,2498364
2026-05,경북,18.9,25.7,12.5,919760,20868.52857,2496706
2026-06,경북,21.9,27.6,16.6,919480,12845.34142,2495919
2021-01,광주,1.4,6.4,-2.6,633489,71711.0,1449115
2021-02,광주,5.1,10.7,0.4,633422,52955.0,1447953
2021-03,광주,10.6,17.0,5.6,633620,40668.0,1445473
2021-04,광주,14.9,20.9,9.7,634332,27705.0,1444787
2021-05,광주,18.4,24.0,13.4,634935,19404.0,1443154
2021-06,광주,23.3,28.3,19.2,635307,11806.0,1442647
2021-07,광주,27.0,31.4,23.6,635695,10413.0,1442482
2021-08,광주,25.8,30.3,22.5,637065,9003.0,1441970
2021-09,광주,22.9,27.2,19.5,638777,9386.0,1442827
2021-10,광주,17.2,22.7,12.8,641096,18716.0,1442454
2021-11,광주,10.2,15.8,5.8,642924,37940.0,1442138
2021-12,광주,4.1,9.4,0.0,645814,63458.0,1441611
2022-01,광주,1.6,6.7,-2.3,645859,71753.0,1441636
2022-02,광주,1.8,7.2,-2.4,647705,62505.0,1440032
2022-03,광주,9.6,15.6,4.5,648230,45221.0,1438463
2022-04,광주,15.5,22.6,9.8,648333,26544.0,1436916
2022-05,광주,19.3,26.1,13.8,648551,17250.0,1436012
2022-06,광주,23.8,29.0,20.1,648929,11409.0,1435378
2022-07,광주,27.0,31.1,23.8,649499,9774.0,1434703
2022-08,광주,26.9,30.6,24.1,651605,7914.0,1434397
2022-09,광주,23.1,28.0,19.1,653248,9256.0,1432856
2022-10,광주,16.0,21.6,11.4,655549,18619.0,1432651
2022-11,광주,11.8,18.1,6.8,657230,31285.0,1432049
2022-12,광주,1.1,5.5,-2.6,659202,68114.0,1431050
2023-01,광주,1.7,6.7,-2.5,659741,67050.0,1429816
2023-02,광주,4.2,10.1,-0.5,660536,49575.0,1428927
2023-03,광주,11.2,18.2,5.1,660156,35224.0,1427508
2023-04,광주,14.7,20.8,9.4,659946,23805.0,1426625
2023-05,광주,19.4,25.0,14.9,659530,15594.0,1425739
2023-06,광주,23.4,28.8,19.5,659132,10518.0,1424818
2023-07,광주,26.3,30.3,23.4,659158,9404.0,1424305
2023-08,광주,27.3,32.0,24.0,659746,7787.0,1423810
2023-09,광주,23.8,28.3,20.4,660728,8641.0,1422999
2023-10,광주,16.6,22.0,12.2,662096,14824.0,1421760
2023-11,광주,9.9,14.9,5.4,664311,34276.0,1420822
2023-12,광주,4.8,9.0,1.2,665794,59382.0,1419237
2024-01,광주,3.0,7.3,-0.5,665487,61649.0,1418241
2024-02,광주,6.1,10.6,2.3,665959,50849.0,1417031
2024-03,광주,8.2,14.1,3.4,666658,46450.0,1415774
2024-04,광주,16.6,22.5,11.6,666267,20038.0,1414862
2024-05,광주,19.2,25.3,14.0,666154,16264.0,1414254
2024-06,광주,23.8,29.3,19.4,666046,11670.0,1413606
2024-07,광주,26.9,30.5,24.3,666067,8973.0,1412986
2024-08,광주,28.5,33.5,24.9,666577,8425.0,1412063
2024-09,광주,26.3,31.0,22.5,667362,7660.0,1411357
2024-10,광주,17.7,22.6,13.7,668756,13025.0,1410548
2024-11,광주,11.5,16.5,7.5,670299,29065.0,1409624
2024-12,광주,3.8,7.9,0.4,672205,58918.0,1408422
2025-01,광주,1.9,6.8,-2.0,672120,66916.0,1407097
2025-02,광주,1.1,5.7,-2.9,672736,61461.0,1405226
2025-03,광주,9.3,15.5,4.3,672131,42505.0,1402478
2025-04,광주,14.6,21.5,8.9,671419,25456.0,1400827
2025-05,광주,18.2,23.5,13.6,671118,19441.0,1399880
2025-06,광주,24.0,29.0,19.5,670913,11136.0,1399082
2025-07,광주,28.2,33.2,24.1,670400,8737.0,1398538
2025-08,광주,27.7,32.2,24.3,671037,8848.0,1397772
2025-09,광주,24.1,28.3,21.0,671779,7783.0,1397122
2025-10,광주,18.4,22.9,15.0,672824,13438.0,1395869
2025-11,광주,10.6,16.2,6.0,674141,32258.0,1394301
2025-12,광주,4.6,9.8,0.1,674962,54596.0,1392013
2026-01,광주,0.5,5.5,-3.8,675431,72040.0,1390658
2026-02,광주,4.1,10.4,-0.8,676364,52720.0,1389235
2026-03,광주,9.2,16.4,4.0,676406,40690.0,1387619
2026-04,광주,15.3,21.7,9.8,676423,23634.0,1386567
2026-05,광주,19.9,26.1,14.5,676440,16707.0,1386379
2026-06,광주,23.8,29.4,19.4,676234,10397.0,1385460
2021-01,대구,0.5,5.9,-4.3,1029030,110489.9539,2415813
2021-02,대구,4.8,11.1,-0.6,1031079,115425.2637,2413191
2021-03,대구,10.2,16.1,4.7,1032180,85274.79149,2408875
2021-04,대구,14.5,20.6,8.8,1033244,62427.75048,2406296
2021-05,대구,18.3,24.3,12.8,1033179,38242.64169,2402940
2021-06,대구,23.2,28.5,18.9,1031549,22603.23049,2397646
2021-07,대구,26.9,32.1,22.9,1031902,14888.53269,2395749
2021-08,대구,25.7,30.5,22.4,1032446,12154.79061,2393626
2021-09,대구,22.1,26.4,18.7,1033412,11504.67457,2392787
2021-10,대구,16.5,22.7,11.5,1034458,14668.24973,2390721
2021-11,대구,9.5,15.7,4.4,1035505,31442.50053,2388230
2021-12,대구,3.1,8.9,-2.1,1036211,64355.40161,2385412
2022-01,대구,0.9,6.8,-4.1,1036847,103473.6709,2383858
2022-02,대구,1.6,7.4,-3.4,1037859,114364.2452,2381095
2022-03,대구,9.7,15.9,3.8,1039199,96725.60851,2380494
2022-04,대구,15.9,22.7,9.4,1039688,67210.92959,2378573
2022-05,대구,20.7,27.4,14.1,1040254,32900.26636,2376676
2022-06,대구,24.3,29.7,19.8,1040774,19289.98175,2375306
2022-07,대구,27.5,32.4,23.7,1041524,13221.21111,2374120
2022-08,대구,26.9,31.4,23.4,1042624,9418.381038,2371936
2022-09,대구,21.9,26.8,17.7,1042339,9796.833764,2367735
2022-10,대구,15.5,21.6,10.1,1043174,14208.84839,2366852
2022-11,대구,11.0,17.7,5.2,1043556,29607.73085,2365619
2022-12,대구,0.4,5.4,-4.0,1044262,54075.77497,2363691
2023-01,대구,0.9,6.7,-4.3,1044676,112655.1373,2362880
2023-02,대구,4.4,10.4,-0.7,1045722,110058.4634,2360662
2023-03,대구,11.8,18.8,5.4,1046628,79703.91417,2358988
2023-04,대구,14.8,20.9,8.8,1047574,48452.94375,2357881
2023-05,대구,19.3,25.1,13.8,1048640,30639.91761,2357032
2023-06,대구,24.0,29.6,19.3,1049577,19974.48779,2356416
2023-07,대구,26.7,31.1,23.1,1050288,12842.62193,2379086
2023-08,대구,27.5,31.9,24.0,1050288,12842.62193,2378464
2023-09,대구,23.5,27.9,20.0,1051658,9972.669826,2377801
2023-10,대구,15.9,22.4,10.5,1052272,12534.98793,2376978
2023-11,대구,9.2,15.1,4.1,1053050,25053.84099,2376044
2023-12,대구,3.5,8.6,-1.3,1054194,62210.39091,2374960
2024-01,대구,2.3,7.6,-2.1,1054647,97433.61868,2373844
2024-02,대구,5.4,10.4,1.5,1055564,103801.1763,2372008
2024-03,대구,8.5,14.3,3.2,1056468,83655.54288,2369962
2024-04,대구,16.3,22.5,10.8,1057179,66190.36335,2368670
2024-05,대구,19.4,26.2,12.9,1058275,29381.30556,2367803
2024-06,대구,24.6,30.4,19.4,1058822,19682.52601,2367183
2024-07,대구,27.8,31.7,24.5,1059618,13261.67902,2366660
2024-08,대구,29.1,34.4,25.0,1060410,11778.63045,2366033
2024-09,대구,25.4,30.4,21.6,1061493,9677.692071,2365523
2024-10,대구,17.0,21.8,13.0,1061859,10938.97875,2364892
2024-11,대구,10.7,16.3,6.0,1062630,22841.58092,2364334
2024-12,대구,3.5,8.3,-0.8,1064013,50956.93968,2363629
2025-01,대구,1.4,7.0,-3.4,1066082,97784.25664,2363281
2025-02,대구,1.2,6.6,-3.4,1067456,110166.5137,2362578
2025-03,대구,9.6,15.6,3.8,1066931,98323.8274,2360493
2025-04,대구,14.9,21.9,8.3,1066661,61570.5046,2359159
2025-05,대구,18.1,24.2,12.8,1066428,33234.05726,2357997
2025-06,대구,24.8,30.6,19.5,1066351,21565.01418,2357052
2025-07,대구,28.0,33.1,23.7,1066131,13087.05584,2357040
2025-08,대구,28.8,33.9,24.4,1066086,10342.66342,2356667
2025-09,대구,23.9,28.5,20.7,1067446,9191.459322,2356372
2025-10,대구,17.4,21.4,14.2,1069342,10781.29402,2355677
2025-11,대구,9.6,16.2,4.0,1071294,23705.29934,2354398
2025-12,대구,3.5,8.8,-1.2,1072548,55284.30685,2353032
2026-01,대구,0.3,5.8,-4.4,1073657,100526.0582,2352249
2026-02,대구,4.3,10.6,-1.1,1075946,115840.6119,2351461
2026-03,대구,9.3,15.4,3.8,1073906,85705.65132,2350042
2026-04,대구,15.3,21.5,9.7,1072803,60936.75351,2349360
2026-05,대구,20.3,26.8,14.0,1071693,30256.35345,2349305
2026-06,대구,23.4,28.8,18.4,1071254,17871.28758,2348165
2021-01,대전,-1.0,4.6,-6.0,620123,82688.0,1463291
2021-02,대전,4.0,10.0,-1.6,621337,52690.0,1462064
2021-03,대전,9.6,15.9,4.0,614543,43581.0,1458463
2021-04,대전,14.7,20.9,8.9,609982,23916.0,1457619
2021-05,대전,17.7,23.1,12.8,608289,17463.0,1457161
2021-06,대전,23.5,28.5,19.1,605200,9452.0,1456107
2021-07,대전,27.8,32.3,24.0,605368,7779.0,1455300
2021-08,대전,25.8,29.9,22.6,607884,6464.0,1454679
2021-09,대전,22.4,26.8,18.9,607764,8412.0,1455058
2021-10,대전,15.7,21.9,10.8,610689,17344.0,1454228
2021-11,대전,8.9,14.9,4.0,612756,40618.0,1453675
2021-12,대전,1.9,7.6,-3.0,623229,67748.0,1452251
2022-01,대전,-0.8,5.2,-5.9,625780,77387.0,1451272
2022-02,대전,0.1,6.1,-5.2,628250,64108.0,1450862
2022-03,대전,8.3,14.5,2.5,625118,48729.0,1450057
2022-04,대전,14.9,21.9,8.3,623386,26001.0,1449360
2022-05,대전,19.4,26.3,12.7,622016,13848.0,1448933
2022-06,대전,24.1,29.4,19.8,624130,8976.0,1448401
